FEATURE_NO,FEATURE_PRICE,FEATURE_TYPE,FEATURE_VALUE,CAR_NO,FEATURE_DESC
132,590000,편의기능,12.3인치 클러스터 팩,19,
133,1290000,제어시스템,드라이브 와이즈,19,
134,1190000,편의기능,HUD + 빌트인 캠 2,19,
135,1110000,편의기능,스마트 커넥트,19,
136,390000,편의기능,사이드 스텝,19,
137,430000,편의기능,빌트인 공기청정기,19,
138,1150000,편의기능,트레일러 패키지,19,
139,2000000,편의기능,파노라마 선루프,20,
140,800000,편의기능,빌트인 캠 패키지,20,
141,540000,편의기능,차량 보호 필름,20,
142,4200000,성능,가솔린 3.5 터보,21,
143,9350000,성능,가솔린 3.5 터보 48 V 일렉트릭 슈퍼차저,21,
144,1400000,편의기능,파노라마 선루프,21,
145,850000,편의기능,빌트인 캠 패키지,21,
146,3000000,편의기능,후석 스마트 엔터테인먼트 시스템,21,
147,490000,편의기능,고정식 사이드 스텝,21,
148,500000,편의기능,차량 보호 필름,21,
149,200000,편의기능,프로텍션 매트 패키지,21,
150,2450000,편의기능,전동식 사이드 스텝,21,
151,6000000,성능,가솔린 3.5 터보 48 V 일렉트릭 슈퍼차저,22,
152,1200000,성능,21인치 다이아몬드 컷팅 휠,22,
153,7100000,편의기능,파퓰러 컬렉션,22,
154,9500000,편의기능,파퓰러 컬렉션 + 뒷좌석 컴포트 패키지 2,22,
155,2000000,편의기능,파노라마 선루프,22,
156,2900000,편의기능,전동식 뒷좌석 듀얼 모니터,22,
157,3900000,편의기능,뱅앤올룹슨 사운드 패키지,22,
158,800000,편의기능,빌트인 캠 패키지,22,
159,2000000,편의기능,앞좌석 컴포트 패키지,22,
160,1500000,편의기능,이지 클로즈 시스템,22,
161,3500000,편의기능,뒷좌석 컴포트 패키지 1,22,
162,6400000,편의기능,뒷좌석 컴포트 패키지 1+2,22,
163,7900000,편의기능,뒷좌석 컴포트 패키지 1+2 + 앞좌석 컴포트 패키지,22,
164,2000000,편의기능,하이테크 패키지,22,
165,5000000,편의기능,후륜 조향 시스템 + 멀티 챔버 에어 서스펜션,22,
166,3500000,편의기능,멀티 챔버 에어 서스펜션,22,
167,540000,편의기능,차량 보호 필름,22,
168,200000,편의기능,플로팅 휠 캡 & 메탈 페달,22,
169,6600000,성능,가솔린 3.5 T,23,
170,4000000,성능,스포츠 패키지,23,
171,1200000,성능,19인치 하이퍼 실버 휠,23,
172,1200000,성능,19인치 다이아몬드 컷팅 휠,23,
173,3000000,성능,20인치 스퍼터링 휠,23,
174,3700000,편의기능,파퓰러 패키지,23,
175,1100000,제어시스템,프리뷰 전자제어 서스펜션,23,
176,1400000,편의기능,파노라마 선루프,23,
177,1300000,편의기능,헤드업 디스플레이,23,
178,1900000,편의기능,컨비니언스 패키지,23,
179,1950000,제어시스템,드라이빙 어시스턴스 패키지 1,23,
180,2000000,제어시스템,드라이빙 어시스턴스 패키지 2,23,
181,2700000,편의기능,2열 컴포트 패키지,23,
182,1900000,편의기능,뱅앤올룹슨 사운드 패키지,23,
183,850000,편의기능,빌트인 캠 패키지,23,
184,3000000,편의기능,후석 스마트 엔터테인먼트 시스템,23,
185,450000,편의기능,차량 보호 필름,23,
186,90000,편의기능,플로팅 휠 캡,23,
187,4950000,성능,가솔린 3.3 터보,24,
188,2370000,성능,스포츠 패키지,24,
189,4100000,편의기능,파퓰러 패키지,24,
190,790000,편의기능,와이드 선루프,24,
191,1090000,편의기능,헤드업 디스플레이,24,
192,1290000,편의기능,컨비니언스 패키지,24,
193,1090000,편의기능,컴포트 패키지,24,
194,1580000,편의기능,하이테크 패키지,24,
195,1190000,편의기능,렉시콘 사운드 패키지,24,
196,1680000,제어시스템,드라이빙 어시스턴스 패키지,24,
197,400000,편의기능,차량 보호 필름,24,
198,90000,편의기능,플로팅 휠 캡,24,
199,880000,편의기능,카본 리어 스포일러,24,
200,5500000,성능,가솔린 3.5 터보,25,
201,1300000,성능,20인치 다이아몬드 컷팅 휠,25,
202,2500000,성능,22인치 다이아몬드 컷팅 휠,25,
203,4750000,편의기능,파퓰러 패키지,25,
204,1300000,편의기능,헤드업 디스플레이,25,
205,1400000,편의기능,파노라마 선루프,25,
206,2550000,편의기능,컨비니언스 패키지,25,
207,1950000,제어시스템,드라이빙 어시스턴스 패키지 1,25,
208,2000000,제어시스템,드라이빙 어시스턴스 패키지 2,25,
209,2600000,편의기능,2열 컴포트 패키지,25,
210,1900000,편의기능,뱅앤올룹슨 사운드 패키지,25,
211,850000,편의기능,빌트인 캠 패키지,25,
212,3000000,편의기능,후석 스마트 엔터테인먼트 시스템,25,
213,500000,편의기능,차량 보호 필름,25,
214,200000,편의기능,프로텍션 매트 패키지 1/2열,25,
215,90000,편의기능,플로팅 휠 캡,25,
216,490000,편의기능,고정식 사이드 스텝,25,
217,2450000,편의기능,전동식 사이드 스텝,25,
218,1550000,편의기능,트레일러 히치,25,
219,5500000,성능,가솔린 3.5 터보,26,
220,3150000,성능,스포츠 패키지,26,
221,1100000,성능,19인치 다크 하이퍼 실버 휠,26,
222,3300000,성능,21인치 다크 스퍼터링 휠,26,
223,3600000,편의기능,파퓰러 패키지 1,26,
224,7700000,편의기능,파퓰러 패키지 2,26,
225,1400000,편의기능,파노라마 선루프,26,
226,1300000,편의기능,헤드업 디스플레이,26,
227,2600000,편의기능,컨비니언스 패키지,26,
228,1950000,제어시스템,드라이빙 어시스턴스 패키지 1,26,
229,2000000,제어시스템,드라이빙 어시스턴스 패키지 2,26,
230,700000,편의기능,2열 컴포트 패키지,26,
231,400000,편의기능,아웃도어 패키지,26,
232,1700000,편의기능,뱅앤올룹슨 사운드 패키지,26,
233,850000,편의기능,빌트인 캠 패키지,26,
234,470000,편의기능,사이드 스텝,26,
235,450000,편의기능,차량 보호 필름,26,
236,250000,편의기능,프로텍션 매트 패키지,26,
237,450000,편의기능,빌트인 공기청정기,26,
238,2800000,편의기능,컨비니언트 패키지 1,28,
239,3500000,편의기능,컨비니언트 패키지 2,28,
240,2110000,편의기능,파노라믹 선루프,28,
241,1450000,편의기능,컴포트 커넥티비티 패키지,28,
242,1860000,편의기능,부메스터 서라운드 사운드 시스템,28,
243,4310000,편의기능,MBUX 증강현실 헤드업 디스플레이,29,
244,910000,편의기능,MBUX 뒷좌석 인테리어 어시스턴트,29,
245,1030000,편의기능,MBUX 뒷좌석 태블릿,29,
246,6950000,편의기능,MBUX 하이엔드 뒷좌석 엔터테인먼트 시스템,29,
247,2670000,성능,리어 액슬 스티어링,29,
248,1260000,편의기능,프리미엄 패키지,30,
249,1230000,편의기능,부메스터 서라운드 사운드 시스템,30,
250,1730000,편의기능,나이트 패키지,31,
251,3500000,편의기능,옵션 패키지,31,
252,8290000,편의기능,부메스터 하이엔드 3D 서라운드 사운드 시스템,31,
253,13300000,성능,E-액티브 바디 컨트롤,31,
254,1700000,성능,20인치 카레라 스포츠 휠,47,
255,3400000,성능,20인치 911 터보 휠,47,
256,1000000,편의기능,LED 메인 헤드라이트 + 포르쉐 다이내믹 라이트 시스템,47,
257,500000,편의기능,리어 와이퍼,47,
258,900000,제어시스템,차선 변경 어시스트,47,
259,2400000,제어시스템,어댑티브 크루즈 컨트롤,47,
